"INVOICE_CODE","ITEM_CODE","AMOUNT","QUANTITY"
"IN000000000000000000000000000077","CEDCORDBDNSAMZZCTYHOVVQOWLAEGQ","73782.000000","31586"
"IN000000000000000000000000000072","WQBIVZKYNHUUKDDUZAFYFADSTPKQEV","10802.000000","62361"
"IN000000000000000000000000000062","VXVTCATZEZKHUALBQAYSEGQTQSQAGP","60908.000000","83823"
"IN000000000000000000000000000022","NTRAVASCPCQQOZRBOFCOEPQLNSOTBQ","11710.000000","70740"
"IN000000000000000000000000000001","WFFHVIULFGGWKKQUBBTYPWNBNVPLQW","53870.000000","97023"
"IN000000000000000000000000000126","ICCSACOQVZWLFTTRKKGLRPOHXFHUHA","49641.000000","60577"
"IN000000000000000000000000000124","IAEFBYKDFZUJKNMWXETBUTYRMGYNGP","54699.000000","30234"
"IN000000000000000000000000000168","JPXVYFASGIWOLZAXXLXUJTHEXBNXBE","82679.000000","96113"
"IN000000000000000000000000000115","RDKOHBXATPFQYWTBUMQKSDKGPOPIDX","9960.000000","49896"
"IN000000000000000000000000000020","RDQLUOPVJTJANPRZDULMGFMFTRTAXY","50584.000000","49504"
"IN000000000000000000000000000125","TBWQDBGSLZRUMXJXRTZSGBKNNJHSYZ","25443.000000","47345"
"IN000000000000000000000000000094","DPCXQAJHRGVNIBJHPZTGFHMMPYXXAB","14346.000000","35382"
"IN000000000000000000000000000145","SDTAICMTIIGYCCYBUBXLLLNPBSFRHQ","27172.000000","17786"
"IN000000000000000000000000000022","PSZVDLRNZXTJFVLPCRPDXGSHUOYHKY","52366.000000","58921"
"IN000000000000000000000000000145","QMOBBEXZEBQROWGQCTKGGARQXGDLJE","80800.000000","64119"
"IN000000000000000000000000000162","IIEYOYDTZPYDRWIDQUJCWGPTPPVYRT","80733.000000","66253"
"IN000000000000000000000000000064","HCHEFBWNYKNOUTHLYSWCFZHOGXRSRK","92180.000000","64418"
"IN000000000000000000000000000164","QXFWFFTOMHWEDPACEILLRFNNUDATZL","22161.000000","43381"
"IN000000000000000000000000000187","MCVWPONQDRQRIHQUBRKPHCWFINPZOU","40780.000000","16035"
"IN000000000000000000000000000140","IBTYLVQPSSDIKBPCZJEPRYTSJJWTJH","44833.000000","11371"
"IN000000000000000000000000000189","NGWPTFPGRBEOLRJJOHUAZAWOBHADDU","43108.000000","40791"
"IN000000000000000000000000000050","VHNMPBTHCDPSKHHRSNJZUGSHEMIGDH","47060.000000","58934"
"IN000000000000000000000000000043","UAZTBCTMPRSOBISTXGHINLSSEGOJMZ","50200.000000","5026"
"IN000000000000000000000000000062","ALRVPOXPTVZLFJGTFZAKLKOYVKLZBA","10384.000000","77927"
"IN000000000000000000000000000067","HSPIREYUWXWJXNPRJVDGHOIYNXCALC","90400.000000","6916"
"IN000000000000000000000000000166","XFFCRJYSSYGRCDMLPWILTWWSPVPMYH","77660.000000","96243"
"IN000000000000000000000000000126","AVNECKCHHTMHTDXKRZNEGBPVPRLKSS","30719.000000","72588"
"IN000000000000000000000000000038","QGGUBEFSFNKDCTMBEBJACRFGANBCZA","81133.000000","84207"
"IN000000000000000000000000000172","UWKYCTUUJEVTYPLUOYSHVANDNPTMCS","51337.000000","88249"
"IN000000000000000000000000000197","HIEIOXPSOOZBCDHHLMDIBEDJVDRRRY","67257.000000","16236"
"IN000000000000000000000000000175","SXZDCRJXJQOWCOVYZPRXHSUXJPCUFM","65817.000000","77709"
"IN000000000000000000000000000143","RNPSBTLPIBLPBIACDTXGZNLOZZVLHX","55490.000000","38761"
"IN000000000000000000000000000064","VZWDPZBQQTEXWMDZIRPNAVKKVDLWCO","68425.000000","85337"
"IN000000000000000000000000000136","WFUUYWLSTIPVLWZQUREZSTKDUMXMNV","41361.000000","69887"
"IN000000000000000000000000000010","LRVOTKXUHFINGBPLQOAPOYTWZTAHMV","56859.000000","6194"
"IN000000000000000000000000000073","EWMXGBVMYNGKADSGMUWBFVLYRGZMND","66931.000000","49077"
"IN000000000000000000000000000081","EGIXRUFFKMODBVQMJFEUYZPGVEMFBP","95757.000000","97547"
"IN000000000000000000000000000126","MOCLRSHGMCBJCPPOYDYOJVFYZXAJEW","15345.000000","1644"
"IN000000000000000000000000000042","KDRXMGDSTPAMXLMTXBUNNGNYMDVNGI","26438.000000","50801"
"IN000000000000000000000000000157","MKETTQYSBEXXLJOJMWJKHPLSGVIDGY","82428.000000","69262"
"IN000000000000000000000000000156","IGPRAETCQUWLDMEZFWOVOKHWZYCZSS","13207.000000","23607"
"IN000000000000000000000000000038","NQZRHCKMUWVEYKUIUDERJZSEVCRFLP","93030.000000","37275"
"IN000000000000000000000000000002","BZSNJXAACQVBISGHWFVSCQTPTHQOWQ","12919.000000","8511"
"IN000000000000000000000000000042","RGKOMHYADDPHKJRYFZGWODSGHSIWHQ","2528.000000","6123"
"IN000000000000000000000000000188","IIQLFPJFXPCVEXTJNRBBYQNHZRDLQF","94123.000000","96823"
"IN000000000000000000000000000124","VVJHYXIFXUTHKOGEXFMFBCNIMESOYJ","46923.000000","81845"
"IN000000000000000000000000000156","VFMLOOAJMEDZITMDKXDIOBVVFDLNSN","65950.000000","74438"
"IN000000000000000000000000000029","DFKHGPASPMYOABJEQGFRWQGEUUHWAZ","69231.000000","56784"
"IN000000000000000000000000000032","NVZEYIZIVKORAELTOUDXTGYEZNEDCS","73914.000000","44799"
"IN000000000000000000000000000129","HGKCADAZEBXZBJVCSZBJJTGMAHFNNO","22638.000000","89543"
"IN000000000000000000000000000164","MFBAPHMRTOVQOJFRORHDUOFTNGXCZM","29365.000000","20909"
"IN000000000000000000000000000012","KPVYUKWZDEQVIVAKWMGJGEFKGCCMEP","57528.000000","79800"
"IN000000000000000000000000000145","DAVBMVIQMGFMWQYWHPSCEZAZPASOSY","55364.000000","41169"
"IN000000000000000000000000000091","UCIAKIDBEFUHPTJRGYJRJFMZKOLZMB","77297.000000","88713"
"IN000000000000000000000000000018","KZPSKPYXPBADOSNUGLPNHWJSMMDUJJ","91670.000000","98386"
"IN000000000000000000000000000037","OKNSGHWQORJXIUXKNBAGEWWDLVNRRT","46347.000000","17085"
"IN000000000000000000000000000125","DUUFXLKNQVFDLTKSPARMTRIXQWXZQZ","85964.000000","64303"
"IN000000000000000000000000000071","AYTFNFITINUGUEDBJMJYLICAMWVRGX","88554.000000","28471"
"IN000000000000000000000000000089","UHHXCBVIWBFDUFHJQZCRZXYYLLXQBI","28920.000000","5209"
"IN000000000000000000000000000167","LBHAFPMRVAYGEDMJQXEQMHPAGPISUA","19975.000000","4861"
"IN000000000000000000000000000183","IZVILZBUKQEMJZQNKZSQCXHBQTLXQH","99377.000000","8964"
"IN000000000000000000000000000032","EFTDYWDQCSCJUCKHLMIZPIZJJYJLDV","31618.000000","67575"
"IN000000000000000000000000000093","DQZWUAJRWVTSWIIRLHBKSCJYQVZYXP","88159.000000","50692"
"IN000000000000000000000000000010","ZSQZDOSUHHBJSTJEXOKFUJHCIMQMXO","38081.000000","72569"
"IN000000000000000000000000000005","MEZBSOUTOUFGAOHBYNSBEMZKMGTBOI","93342.000000","35556"
"IN000000000000000000000000000169","APQKKCHYSYLISFLWRKFMMNWJENHPWG","15155.000000","92100"
"IN000000000000000000000000000050","FBXLAMHVJORAWPYTBDUSRLGEPHCBGB","77870.000000","74160"
"IN000000000000000000000000000081","QPPMEEZYKHXGIHWVVVNHWEWVLSREVR","62192.000000","23188"
"IN000000000000000000000000000091","GYHSEDRNQGSBGUWZGKUDIGFQEKLDCK","74236.000000","39811"
"IN000000000000000000000000000174","FCNESNCEXENOCIOXTYMISOTVXYELEV","99292.000000","78560"
"IN000000000000000000000000000134","IKFTUDALPQBQZOZBUDSXDFOJJIVPFR","77538.000000","57308"
"IN000000000000000000000000000113","JVTYHMEVWTGPNRZZHSJXYXBMRTBKMY","22565.000000","13454"
"IN000000000000000000000000000048","RLQILNRXTNGWUJLJCTNALSNWSYMDYH","34897.000000","66132"
"IN000000000000000000000000000105","CRNQJQJSVXOWAGBUNJJVBCFSTNACDM","27781.000000","94996"
"IN000000000000000000000000000125","PTTASNGJJDSIJNAEXFOHRNPEYVIKQR","6044.000000","49233"
"IN000000000000000000000000000083","VZJHRHJIFNBTBYVZVOQLZQWMZOBDMS","26462.000000","71985"
"IN000000000000000000000000000009","WDFFRAVRQUDPETAERONQZZYUECXLVY","60546.000000","68157"
"IN000000000000000000000000000075","PCBHDAXBHLXAATFRDLURZICXJQMJRP","34745.000000","79443"
"IN000000000000000000000000000119","UIWLELAMUIKVRXPTHXZJZWJABPXASK","71088.000000","67410"
"IN000000000000000000000000000175","ZEPRQBMEGYKXQGKFJYBXLFCGTVZNPS","45889.000000","59005"
"IN000000000000000000000000000162","XSITUYJBLFIYZCMXPNYVWEDEBMQGUV","16042.000000","19010"
"IN000000000000000000000000000171","GZRXZDOOZCSESSOGOUGVPMRIAURUEI","73025.000000","36613"
"IN000000000000000000000000000051","UEWHZRIXBUUOHKGIGQQCXCFORMWYKH","94783.000000","42443"
"IN000000000000000000000000000099","MLSSSPQGDICEWMTPPFVSJHTNEUBVJU","44456.000000","2962"
"IN000000000000000000000000000175","CCELBRYZVUOMIQKGCFOVHERGGKMMTG","18527.000000","33895"
"IN000000000000000000000000000031","FSSZFSIWHTYTYHPUAENQZOIEPABDZV","76193.000000","775"
"IN000000000000000000000000000179","AENUOLEIHWVKUZKJJBBZOZFQHZMKKH","17186.000000","48677"
"IN000000000000000000000000000164","BNWAMZVGBLTPTZEXDZUDKQVYCTPVAG","65808.000000","45836"
"IN000000000000000000000000000194","TYWCUZYNGQWXNBDPAKUVREIFBWYIKU","2575.000000","39565"
"IN000000000000000000000000000008","ZCNTKUNZWRBSBZHICLSQQKCLAETQKI","68212.000000","75869"
"IN000000000000000000000000000153","MBFQYFPKIHPFEMBSXYRTUQUPMQRGTH","21455.000000","23481"
"IN000000000000000000000000000024","GHUUCQHNXYUUCTHBCZXBXFTDAOYIRD","97529.000000","81341"
"IN000000000000000000000000000111","ZCUMITFZZZUKXFETOVIXEOYPIJKHXZ","28194.000000","43149"
"IN000000000000000000000000000166","PYBSNKMRHJPMCZFLPVZXDEVUFOVBDK","93259.000000","65749"
"IN000000000000000000000000000094","QEMLJFYAXRRWPWZBHWWIWGVMJANMOZ","17465.000000","79030"
"IN000000000000000000000000000144","JNFMFDOPCAIUVKSJMMNRVDJTYWJTFA","3269.000000","95179"
"IN000000000000000000000000000033","PXWGZARSAGGJFIBXHCOWPSFVKWMIAG","98700.000000","36975"
"IN000000000000000000000000000165","PNLLUYCELNNGRPGNYWDPFYXTCZYIFI","16778.000000","52738"
"IN000000000000000000000000000132","FUGWKIKMNVUBJZEFUFNEIIWILFAZEZ","12430.000000","92251"
"IN000000000000000000000000000039","EPVMTVYGCODUAXMEEHGEXPRXTWCMFQ","51871.000000","16318"
"IN000000000000000000000000000185","STRBMVZDLFLMJHCOCYIQLFSJYDHTPW","92035.000000","45996"
"IN000000000000000000000000000083","QMTEMMLPFHJYFHCFVOVHDJRJIJMZSZ","81185.000000","81648"
"IN000000000000000000000000000189","IINUTLFSNBIQNPDIKZTYSNSPVUSYHQ","93380.000000","11154"
"IN000000000000000000000000000190","FETLWRRBOAMKXCCDHWHWRMNGINSAEE","75521.000000","34031"
"IN000000000000000000000000000176","WODBCZYUTPAPQTIRUSCYYMBPCGYCYT","57131.000000","42067"
"IN000000000000000000000000000114","XXPCXINHGIUVRURRVEUEKKNFYVMJHI","21103.000000","35335"
"IN000000000000000000000000000100","FGDIKQIKMNOHDUAXCMNDQQAZUSUGAA","82392.000000","10344"
"IN000000000000000000000000000098","GUJBJYKLKCOBXSCAIVPNNYQNFKAFXD","89676.000000","6450"
"IN000000000000000000000000000153","FINOJZTEVOFJMJWURWMQDUHKLYMWOX","78178.000000","3558"
"IN000000000000000000000000000153","YXIBHRMPEGYIWMXMAQORPYKJLADZPP","65956.000000","15329"
"IN000000000000000000000000000030","UWCGTSIVWJCEGHNYLWIZBTPDHQOGPU","68286.000000","87990"
"IN000000000000000000000000000077","MKVNDYIQBMYDFVGAZABQUWFTGHWESA","90270.000000","8824"
"IN000000000000000000000000000110","XGSAAXVTDFWPXRBYYPLVSIGWFCMSDK","83202.000000","71880"
"IN000000000000000000000000000169","DKGRPUHEOXBDGRUITSODXSHNAXIZEB","21934.000000","57727"
"IN000000000000000000000000000110","UVPKUKYPSAIOZIVBJXLNYUWCWVGGNJ","57919.000000","14078"
"IN000000000000000000000000000087","BLRZSGJTSJDYADQEMXCQKNCLJTMYGD","28969.000000","60261"
"IN000000000000000000000000000193","FPAPSGFBTYIBJXGSQTSXTXICGRXDHL","62068.000000","18268"
"IN000000000000000000000000000120","WZDLNXGJTOJYEJTKKPQDJYSGYUPERO","83874.000000","80586"
"IN000000000000000000000000000117","UYUHCWMHEOEADQROFSRRJTFKSXWCBS","11893.000000","50770"
"IN000000000000000000000000000156","VYLKGYFMHXWLDMYIEYBKFXFXUGXLNE","20622.000000","87226"
"IN000000000000000000000000000198","WLNICQZWXNKKWEARDFZYRXMKQCNMAR","77263.000000","11086"
"IN000000000000000000000000000176","DZQHYUYINSJSFBQBCNCOOPXPMKTLJD","76966.000000","39332"
"IN000000000000000000000000000161","BSGRTTHNSNTIPNNTDSWGGFZMENAPJQ","66969.000000","55657"
"IN000000000000000000000000000193","CVSKFODEGQRVUIUNCQBKSNIVFAYGXA","83101.000000","99967"
"IN000000000000000000000000000071","QCVUKFLBCMELOMVFPICOHIVZDGLHZE","1336.000000","5281"
"IN000000000000000000000000000159","LDDGIDYTLROCVRBHFIVALQLRZHBHCU","26523.000000","20531"
"IN000000000000000000000000000061","TNCKJGNROHJWKQOINFGYCNAYRQRQWK","55702.000000","77783"
"IN000000000000000000000000000141","UOQXHCJANKEVWHLPWIBJVFVDNFBAEI","80108.000000","13450"
"IN000000000000000000000000000142","YUFGCHXEHZALEIICWBBMINJXBILRUN","82134.000000","52355"
"IN000000000000000000000000000092","DYGASVZTRXIEDVDLFCGBGUTQQBUVPO","36249.000000","6288"
"IN000000000000000000000000000157","VQCRISTDOBRIOZYVYLHHONXSASTORK","77195.000000","65058"
"IN000000000000000000000000000167","VTJLUHVWYPBTBCXUYSRZZNUUWMNRPK","56238.000000","5363"
"IN000000000000000000000000000056","VZEEWSIBOVFIMTHQIGRKJIBESIANQW","97970.000000","10770"
"IN000000000000000000000000000063","DRITIMUGWOVJKPUAHNFMHSFLJVRLTJ","65915.000000","26181"
"IN000000000000000000000000000154","TJPWJZXNETXHLJTWUCVLWAKAZRORZR","61650.000000","5127"
"IN000000000000000000000000000195","FHADPQPOTQYJQHWVYVWNDQDYSUUOTF","78272.000000","41858"
"IN000000000000000000000000000053","JOKORTFPGQYBPWLMPJWYDYDJCZDEDV","7286.000000","35700"
"IN000000000000000000000000000112","CYRNSTAZRRZAINCAIAHDNYIZVDRMUD","7829.000000","39144"
"IN000000000000000000000000000130","HMWXCSCTRBQLJVTEKMCJCRTGYHTFGP","36500.000000","3381"
"IN000000000000000000000000000113","QGFWUUEZLCJSFNEYHWAONEKHNEIQFC","81995.000000","77283"
"IN000000000000000000000000000032","RPPHRVTZOTPAJHSEVJEYEWJUTWPNPZ","22645.000000","76430"
"IN000000000000000000000000000101","BULUSSAZYGAIPRPPOGJFAINXQLIQWX","85525.000000","37229"
"IN000000000000000000000000000099","ELPJIJCWZHHEWZNZYUERXGUCTGGYRZ","38454.000000","31589"
"IN000000000000000000000000000081","RIGVBJTREAMETAIAOSSUVTOFEQGUBM","36874.000000","32924"
"IN000000000000000000000000000165","DGJMIPILUPQIRKPIINCZFHGEQTYWXF","16303.000000","56643"
"IN000000000000000000000000000007","UPGOMDQCAMDJWSMWTRPKHKWGHIZSFA","82577.000000","9325"
"IN000000000000000000000000000159","FLJSUMCBWBZDTPASMIEJJJCACYKIHK","17184.000000","82149"
"IN000000000000000000000000000098","GZLSLAVSOWFSFASNNSFHUUNDIYGHFL","85987.000000","1509"
"IN000000000000000000000000000048","PNJJOVIKKMEITIYMWMDLHTDICBXRPQ","86640.000000","16610"
"IN000000000000000000000000000054","EXERIWLNTQUDTWYMCOKTNXOAYYTGLI","26617.000000","3491"
"IN000000000000000000000000000145","VRTWYYYXXSQGQKJHGFHCJQHQCHWFQE","75940.000000","35318"
"IN000000000000000000000000000079","EDDFQRNVQSGIUKFSELIGAGBCHTKSCN","54976.000000","36333"
"IN000000000000000000000000000100","RBVAECUAHXWZFFBVZMNKTNZXVEMBDN","21015.000000","35686"
"IN000000000000000000000000000102","ZHCYXTAPPIQPNOIPMPAZJIMXDOFRWY","439.000000","8373"
"IN000000000000000000000000000072","TUNXHDTUQVNYGQSGKGERUNAWBHLLYX","42788.000000","28417"
"IN000000000000000000000000000116","BFTBKZHJWELOMOGMZIMLPJKLHGZRVX","30547.000000","81618"
"IN000000000000000000000000000179","ZKGWKDDGDXFWYPXKMJLEIRDAACBXCA","30602.000000","83812"
"IN000000000000000000000000000177","UWZGJZSFMEITETMOZVTVUKGLCLKVAF","2648.000000","49938"
"IN000000000000000000000000000052","ACRYEVZJJVDMIWFPMPRTSOANYPMOJT","78006.000000","91694"
"IN000000000000000000000000000066","DUUMPUUFKRFEEAKWWPHVQJGKVJSTHN","48631.000000","10847"
"IN000000000000000000000000000033","XHPMPRACARUXVSRDWBFHABWWHAZOSF","79218.000000","47388"
"IN000000000000000000000000000088","IYKENCKYWHQXYAQTKGDVUVJNVLPJXF","51006.000000","76454"
"IN000000000000000000000000000127","XTGYHYPVLHQNSCFQBMCSALAVQRGUTB","46230.000000","2408"
"IN000000000000000000000000000148","IULBCRWRMPHBGENNTNIMMIMZYVCVOP","74346.000000","97279"
"IN000000000000000000000000000049","TMNQDAKBHUZXEXSRMNQLGXYUPCJOEO","78073.000000","54025"
"IN000000000000000000000000000173","PSGBBQJXYEOEVPBOVLELWWMDRIKUDJ","1583.000000","56210"
"IN000000000000000000000000000128","STGKOJVGIKUUPEEAGZAQNSMUXISCQY","86261.000000","93368"
"IN000000000000000000000000000127","SODEVSYIFLYBAQVCSZGQXZSBTCSMZJ","2733.000000","74461"
"IN000000000000000000000000000178","JOXCEKYTJTZSKPYTVQVTAGIBGAXGAU","22311.000000","69531"
"IN000000000000000000000000000164","DIBDEIJPMEEDQUPYSWMPTEXHDBSQVU","79546.000000","98721"
"IN000000000000000000000000000056","QKPWFQPGNCEDZOMSXIYVBIURYKGJCG","50671.000000","46513"
"IN000000000000000000000000000095","BAWQDNBXCRRYFLMZGQGYJUWXLKTZDX","57412.000000","54300"
"IN000000000000000000000000000025","XMWCZDEFZXAZTRMHUGHJTOYILLIAGH","30608.000000","2800"
"IN000000000000000000000000000162","LYNVTGGUINYQUXTPUUYCPZFOFQXMML","36913.000000","80549"
"IN000000000000000000000000000145","NJIGIDIRZQGMJMKRSXGRJRQUYFEYRF","33678.000000","31784"
"IN000000000000000000000000000142","DAMOMXXGGHZYNNLEMCOWHQPUUETUSX","23266.000000","58233"
"IN000000000000000000000000000019","NITORWJZTMYKWHSCOWSTSFOJSLRCLN","69314.000000","1844"
"IN000000000000000000000000000124","LMOGUQTFMKNVGJVEZGMILIQABFTVMX","13115.000000","66375"
"IN000000000000000000000000000067","EIXQJVDDLYQZLXDWPLNXCOMSVMIIXL","17764.000000","66125"
"IN000000000000000000000000000145","BSTXHFKFWXILBLUJXROPYYBQVPVFPC","56300.000000","3980"
"IN000000000000000000000000000150","DBVVFZCNQNCEOGKGIQJRMSFDMAUURX","32995.000000","22737"
"IN000000000000000000000000000169","GIHQQYJXPIFITGWOKBGXVHFMVAGFEG","54341.000000","25486"
"IN000000000000000000000000000113","TQZTMOAAKTDVINIMILIOIHDUGVIFHC","48680.000000","8450"
"IN000000000000000000000000000053","VFLDOSUKXXULUTUEZAJMWFSKUGGRUM","46300.000000","79556"
"IN000000000000000000000000000107","KLFNXTQMCYERDHOBRROLLWSINXFIIW","87282.000000","8840"
"IN000000000000000000000000000060","XRPZQQPKYDDFIHUBHGAYDFZGXRCUOJ","19662.000000","39559"
"IN000000000000000000000000000009","IIGXCYSDHMRVGAXXDWYWSYKOWOZPGD","87483.000000","41771"
"IN000000000000000000000000000163","CYRXQSRZKODZADOJHBYNXGFCZWKZIQ","11172.000000","45897"
"IN000000000000000000000000000117","PUCMBDUIBLWTFIZNCSAOXPTLTFUAMR","86660.000000","15826"
"IN000000000000000000000000000134","MOYCKDISPTUZDZHPRFLTZBQMODYTUY","138.000000","6673"
"IN000000000000000000000000000024","DYQNPZKYGGWFZNZCRTHSTGASJPHZZR","36521.000000","23372"
"IN000000000000000000000000000185","BVKZNEAFSFITXCSSAIHVLGKHVBKOGH","66882.000000","94980"
"IN000000000000000000000000000134","QZRSCGRYKOXTCTCCSIDKUETLYMLDXD","32939.000000","61282"
"IN000000000000000000000000000029","YIXCXCDEKPFHELSPCJVCMBMVYBBEUS","56719.000000","65495"
"IN000000000000000000000000000075","TXHSXNZTJXVGWNXTFIXBVHZKJAQRUS","6209.000000","61956"
"IN000000000000000000000000000039","MPDHCUVYKXLKIBOCSTDBITIBILFKJE","69564.000000","769"
"IN000000000000000000000000000155","WAVAPLMQGOIUMCCURMGIPMPPKNPGRT","57068.000000","22540"
"IN000000000000000000000000000031","UDHBPNVFWZZOJILKOEYWRQDQGFJJNV","38181.000000","4195"
"IN000000000000000000000000000081","FRVPLSQRGFIHYQIZUDQLHTLUUGZQLO","56491.000000","3845"
"IN000000000000000000000000000140","WDXQKLSNQBRBVYMZEVYOTEQOUVVLWE","51173.000000","85155"
"IN000000000000000000000000000005","UWKFDMCGAYKUBECEJEPMDXFVYPUHLB","63600.000000","18434"
"IN000000000000000000000000000140","XMWCPFNWWPDGGVGSDMGHDXFPQHHWKC","49748.000000","30146"
"IN000000000000000000000000000082","LEWPZUBDYMIFEGFAKQDHJHWEKWPFQW","94006.000000","78670"
"IN000000000000000000000000000153","DQZVFNKKWTLFNLVMPMWSSRMGQUWHCQ","19611.000000","7738"
"IN000000000000000000000000000034","UTMJEERBCPYSOBPHETITIUGDRIQNRJ","38518.000000","12579"
"IN000000000000000000000000000075","XKGQYCZFOZJOTAKGEMUCZOGJBFWYLQ","60606.000000","92549"
"IN000000000000000000000000000184","TVZKTVWHCANYQVXQYTTWRZATJOMJJO","63987.000000","93943"
"IN000000000000000000000000000152","PJVPVTXDLOPGAJCIELCQJYPMVLJOVO","19459.000000","11820"
"IN000000000000000000000000000029","PDHHTAEEHJAHCVVMHWUDGGPJHXHJDX","38847.000000","2941"
"IN000000000000000000000000000150","XZJVJOOOSCEQFCYEBQMODFDTNJPVYM","43405.000000","87791"
"IN000000000000000000000000000031","PYGBAAMSJSJRTWINSRAFGBJSRSLRCA","28175.000000","20271"
"IN000000000000000000000000000161","MBSMUUAISDIACJLYSRHDLFJBQXLKDT","77768.000000","37462"
"IN000000000000000000000000000083","DFBPZIXGRVPRGTESXWGPGMHXVNEMYK","51034.000000","6616"
"IN000000000000000000000000000166","RLWZCLGHCMYWCGHLTQHFZIOKGKBVYN","73701.000000","64138"
"IN000000000000000000000000000109","KIZNAVXGMYWGKKFACUETRLQGMUFEQV","84211.000000","62049"
"IN000000000000000000000000000009","NXLNWYAWZKMOCONUJMOVKGNKSABOFK","93906.000000","18745"
"IN000000000000000000000000000187","MTUBRIYXVHKLTGNDDFIEJYJRZIWFQW","51420.000000","39882"
"IN000000000000000000000000000190","RQHXICUTZEKYHWSGPHMHMIYTTXENPB","46294.000000","19279"
"IN000000000000000000000000000035","FUIXZYPANCHVZQOVSJANJSRJATDMUG","39276.000000","62711"
"IN000000000000000000000000000044","NEPTPTDQEJHARUCKMCGIRVNRDAHJLH","2319.000000","84150"
"IN000000000000000000000000000144","SFSOZYECGSMHTOGGJMDAEEJMZNMNAT","8236.000000","93764"
"IN000000000000000000000000000018","OLJRZCIVXCJFDIKYMJMYCABRZHDLZJ","1631.000000","9292"
"IN000000000000000000000000000016","QGZOBBSZKQHOBVHRUTIAFTETZIXXWQ","92941.000000","84761"
"IN000000000000000000000000000156","DEFVACUPQJEIMTMTEFDNXTZQMOCQVE","61995.000000","11647"
"IN000000000000000000000000000017","FUKJIVZWUPFXIVVIUECXIHSHAXYUVI","84049.000000","16015"
"IN000000000000000000000000000154","LIMWBDTSTXIUTLJVJSKAJQICPFNDRP","90052.000000","49509"
"IN000000000000000000000000000183","XDUELXRXXZRSTVVQXWWYTLHTMDDECB","99934.000000","37395"
"IN000000000000000000000000000107","LOUCJBNJRLTXKWYKJEHLPNIOGHUARR","60143.000000","64928"
"IN000000000000000000000000000145","PGBXKJVENUPHPMPSZYOSPIYEITIYOD","52378.000000","85837"
"IN000000000000000000000000000115","YNCKDQXOZQMGGHOGVIWKAUVZWJVUIH","61421.000000","26447"
"IN000000000000000000000000000092","NRLLOUCYQTPPCRDHHOTKYMWAMDQLDM","67799.000000","54599"
"IN000000000000000000000000000019","DLGGFBFOOJTSIJKOJRSHBSMSMGTBJM","31060.000000","38170"
"IN000000000000000000000000000122","FCFDEKINRCTGNUFLWCZCEFLEDRKNBW","97664.000000","63198"
"IN000000000000000000000000000078","DUUQMLCBNZQKFVVGHYSPEUJNGUHILL","16312.000000","76840"
"IN000000000000000000000000000124","BFOSHEBUYDKPSOJVXCUIRIHJIDVJKJ","20703.000000","62314"
"IN000000000000000000000000000182","HGMDLXBABNLBDTACANYKEJYAHLKKIF","25856.000000","47259"
"IN000000000000000000000000000138","QRDOOTRBJOMJBGGLUNXILRAHOJXUGH","90012.000000","46324"
"IN000000000000000000000000000148","UHTBKTANIDEUBYKFLDPTFFRQAZPQOU","67014.000000","25881"
"IN000000000000000000000000000149","PCJWSKAKVPJFSJFKWDPTDXERDGBKVJ","86966.000000","50166"
"IN000000000000000000000000000045","MPNOLOGEHCHCWJQFWQMRODNSAVYQYJ","2410.000000","8441"
"IN000000000000000000000000000133","EDICUWWKUQTFLPYKMDXOMRFWAVTSEH","43114.000000","67554"
"IN000000000000000000000000000053","UTEZYTVUYXEYIOLJQMKKYYVNALTUHS","39858.000000","46417"
"IN000000000000000000000000000067","SRXEMJWLQAUQPPOFKKHRWJJXYIKQVL","56031.000000","97426"
